Feature,Importance
cat__Order City_Rome,0.00033053607363349945
cat__Customer City_Stockton,0.00032921099321308266
cat__Customer City_Long Beach,0.0003289330941147701
cat__Order State_Punyab,0.0003287911544801364
cat__Order City_Mejicanos,0.0003277488052125969
cat__Customer City_Elmhurst,0.00032568074677223857
cat__Customer City_Riverside,0.0003250245667673573
cat__Order State_Nuevo León,0.000324957262714628
cat__Order State_Normandía,0.00032344008211662674
cat__Order State_Países del Loira,0.0003227541582562016
cat__Order City_San Diego,0.00032154522769929617
cat__Order City_Puebla,0.0003204815158241208
cat__Order State_Coahuila,0.0003203662636109217
cat__Customer City_New Orleans,0.0003198693254639013
cat__Order State_Tennessee,0.000319352769173748
cat__Order State_Massachusetts,0.0003191768632742736
cat__Order City_Cairo,0.0003176600210087507
cat__Customer City_Newark,0.0003171802150793714
cat__Customer City_Fort Lauderdale,0.0003145960876987241
cat__Customer City_Fort Worth,0.0003144452271575909
cat__Order City_Hamburgo,0.00031387697483543524
cat__Order State_Indiana,0.00031257073626230126
cat__Order City_Munich,0.0003122920884200775
cat__Order State_Lombardía,0.0003121048739971938
cat__Order State_Nueva Jersey,0.00031113017285044095
cat__Order Country_Pakistán,0.00031074350658652174
cat__Order City_Cologne,0.00031054136913122196
cat__Order City_Santa Ana,0.00031017523678134685
cat__Customer City_Pompano Beach,0.0003099123021028449
cat__Order State_Java Oriental,0.00030955804727568037
cat__Order State_El Cairo,0.0003086519497130214
cat__Order City_Columbus,0.00030765742232652724
cat__Customer City_Sacramento,0.0003071886477253785
cat__Customer City_Washington,0.0003069131274046094
cat__Order City_Bagdad,0.0003066189302100257
cat__Order State_Carolina del Norte,0.0003052893145424953
cat__Order State_Baja Sajonia,0.0003014643519023528
cat__Order State_Renania-Palatinado,0.00030041679917486807
cat__Order State_Georgia,0.00029948418346424443
cat__Order City_Apopa,0.000299480574268118
cat__Order State_Kentucky,0.0002990778676692625
cat__Customer City_Baltimore,0.0002977767471006103
cat__Order State_Baja California,0.00029686788830477623
cat__Customer City_Laredo,0.0002959642645271548
cat__Order City_Bogotá,0.000295707274580243
cat__Order State_Michigan,0.00029553577862015303
cat__Category Name_Trade-In,0.000295180574853953
cat__Order State_Estocolmo,0.0002949793130692914
cat__Order State_Arizona,0.00029346874835977055
cat__Order City_Canberra,0.00029328717706102625
cat__Customer City_Bakersfield,0.0002932797678442729
cat__Order City_Essen,0.00029251122992105406
cat__Order Country_Polonia,0.00029238339420276555
cat__Order State_Emilia-Romaña,0.00029075714742303347
cat__Order City_Orizaba,0.0002906620146702442
cat__Order State_Borgoña-Franco Condado,0.0002871298462854099
cat__Order Country_Canada,0.00028684343459470555
cat__Customer State_MN,0.0002861939541308865
cat__Order State_Territorio de la Capital Australiana,0.0002852193905310183
cat__Customer City_Hialeah,0.00028474218674656693
cat__Department Name_Technology,0.0002842379287190556
cat__Customer City_Antioch,0.00028381730731140615
cat__Customer City_Tucson,0.0002837713585843193
cat__Order State_Colorado,0.0002828697250803155
cat__Customer City_Honolulu,0.0002820776382774414
cat__Customer State_DC,0.0002819256345215376
cat__Customer City_Orlando,0.00028162052287101873
cat__Order State_Campania,0.0002799156434810554
cat__Order State_Piamonte,0.00027906490861202474
cat__Order Country_Vietnam,0.000278963246617366
cat__Order Region_Canada,0.00027894270929103933
cat__Customer City_Carlisle,0.0002765997822798024
cat__Order State_Bogotá,0.00027626632918579326
cat__Order Country_Haití,0.0002747740031747677
cat__Customer City_Saint Louis,0.00027476983536243207
cat__Order City_Duisburg,0.00027436223687803704
cat__Order State_Río de Janeiro,0.0002742292550659808
cat__Order State_Bagdad,0.0002730887287769323
cat__Customer City_Tampa,0.00027150912725304774
cat__Customer City_Hamilton,0.00027149227249037203
cat__Customer State_WA,0.00027095698257842914
cat__Order City_Lima,0.00026907559150903535
cat__Customer City_Fresno,0.0002690427379503706
cat__Order Country_Malasia,0.0002679316883085504
cat__Order State_Rio Grande do Sul,0.00026789987356097463
cat__Order State_Holanda Meridional,0.0002674724515276395
cat__Category Name_Children's Clothing,0.0002664598753751639
cat__Order City_Nantes,0.00026603279271950937
cat__Order City_Newcastle,0.0002659652707126106
cat__Order State_Sicilia,0.0002653228971689931
cat__Order State_Jiangsu,0.0002651634259735576
cat__Customer City_Garden Grove,0.0002648900974015633
cat__Order City_Rangún,0.00026445872883632226
cat__Order State_Ouest,0.0002642646597037183
cat__Customer City_Moreno Valley,0.0002630661367087179
cat__Customer State_IN,0.0002625421164638988
cat__Order City_Caloundra,0.00026241782764742095
cat__Order City_Dallas,0.00026237081469025086
cat__Customer City_Columbia,0.00026177559353313584
cat__Order Country_Argelia,0.0002616788797551062
cat__Order Country_Myanmar (Birmania),0.0002608355216829844
cat__Order Country_Bangladés,0.0002604694771746326
cat__Customer City_Fremont,0.0002602852199608685
cat__Order State_Tamil Nadu,0.00025964130210688206
cat__Order City_Monterrey,0.00025907122324480094
cat__Customer City_Denver,0.00025903108681916157
cat__Customer City_Fullerton,0.0002590201696555969
cat__Order State_Auckland,0.00025738841452840146
cat__Customer City_Escondido,0.00025736328750269004
cat__Order City_Birmingham,0.0002570131118763659
cat__Order State_Ciudad Ho Chi Minh,0.00025694401729994853
cat__Order Country_Corea del Sur,0.0002567639484661701
cat__Order City_Santiago de Cuba,0.0002559864854987833
cat__Customer City_Buffalo,0.00025557128494777865
cat__Order City_Mérida,0.00025538829090876675
cat__Customer City_Tustin,0.00025511446113530656
cat__Customer City_Saint Paul,0.00025485721794220334
cat__Order City_Mexicali,0.00025483309486939694
cat__Order State_Toscana,0.00025481439997339145
cat__Order State_Rangún,0.0002541989846112328
cat__Order State_Shandong,0.00025406343373927503
cat__Order City_Tlaquepaque,0.0002530175638610438
cat__Order State_Hesse,0.00025258396893262263
cat__Order State_Pernambuco,0.00025177716816735077
cat__Order State_Michoacán,0.00025133724846548096
cat__Order City_Turin,0.0002496870414096248
cat__Order City_Surabaya,0.0002488720737995396
cat__Order City_Adelaide,0.00024795524367546106
cat__Customer City_Albuquerque,0.0002474193744321176
cat__Order City_Estocolmo,0.0002470009733268004
cat__Order State_Escocia,0.0002467135776204707
cat__Order State_Gauteng,0.0002460332705732991
